"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"71",71,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"72",72,30000,0.3,0.01,-1,1,-0.000709373833701498,-0.0241543188352964,100,0.00260704340625636,-0.902581812438218,"EB"
"73",73,30000,0.3,0.01,-1,1,-0.00407280707459227,-0.0484793387482539,0.0116288236454582,100,-0.731815899298683,"EB"
"74",74,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"75",75,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"76",76,30000,0.3,0.01,-1,1,-0.00106131220682483,-0.0164079915749132,0.0179127338008751,100,-0.404682793118625,"EB"
"77",77,30000,0.3,0.01,-1,1,-0.00102939391448639,-0.0279553950855702,0.00222118669855662,100,-0.86311222600986,"EB"
"78",78,30000,0.3,0.01,-1,1,-0.00126835214062728,-0.0331096401368005,6.32346717306768e-05,100,-0.927216509873635,"EB"
"79",79,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"80",80,30000,0.3,0.01,-1,1,-0.000954810590267959,-0.0112675334830681,-0.0623081364378209,-0.00327487812242793,-0.234721904149043,"EB"
"81",81,30000,0.3,0.01,-1,1,-0.00130122425446647,-0.0218100495967761,100,-0.0144997611044622,-0.535401642608147,"EB"
"82",82,30000,0.3,0.01,-1,1,-0.00148495136814885,-0.03050107472018,-0.00909206993771748,100,-0.770362520676823,"EB"
"83",83,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"84",84,30000,0.3,0.01,-1,1,-0.00328764988658093,-0.0530333982781181,100,0.00447933348683279,-0.922115793331824,"EB"
"85",85,30000,0.3,0.01,-1,1,-0.00118617183213412,-0.0322874622387035,100,0.00222519213891907,-0.935525326027608,"EB"
"86",86,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"87",87,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"88",88,30000,0.3,0.01,-1,1,-0.000739543409841631,-0.0245264206700051,100,0.00281325393575148,-0.897099948104023,"EB"
"89",89,30000,0.3,0.01,-1,1,-0.000681702805023654,-0.0258660089083378,100,-0.000244575578363878,-0.990633086804761,"EB"
"90",90,30000,0.3,0.01,-1,1,-0.00143473560132088,-0.0282866756572598,0.00848248971622205,100,-0.71604651667602,"EB"
"91",91,30000,0.3,0.01,-1,1,-0.000559273080456469,-0.0160717041895387,-0.00784456049752051,100,-0.631869576515305,"EB"
"92",92,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"93",93,30000,0.3,0.01,-1,1,-0.00118025407033118,-0.029091644976146,-0.00573928121264481,100,-0.835224559302939,"EB"
"94",94,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"95",95,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"96",96,30000,0.3,0.01,-1,1,-0.00127115289298022,-0.029137707842677,0.00325032625833115,0.00971526291903877,-0.800889040720491,"EB"
"97",97,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"98",98,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"99",99,30000,0.3,0.01,-1,1,-0.00693278409498318,-0.0700949267331027,-0.0109226824528025,100,-0.829522942979807,"EB"
"100",100,30000,0.3,0.01,-1,100,100,100,100,100,100,"EB"
"101",1,3e+05,0.3,0.01,-1,0.632580261593341,-5.82569146185333e-06,-0.000678180648680624,-7.25618175003745e-05,-8.62846758047047e-05,-0.146343227563159,"EB"
"102",2,3e+05,0.3,0.01,-1,0.667836257309942,-6.56148796739502e-06,-0.000778703612493543,0.000267199196332128,-0.000592382591213855,-0.169193790042926,"EB"
"103",3,3e+05,0.3,0.01,-1,0.640697674418605,-7.08089015015365e-06,-0.000816582050921479,5.98079311447159e-05,-7.74473758422446e-05,-0.172130195041685,"EB"
"104",4,3e+05,0.3,0.01,-1,0.618885096700796,-4.64772283142921e-06,-0.000556239267084157,-2.39608577385785e-05,0.000135307095104201,-0.124831278266209,"EB"
"105",5,3e+05,0.3,0.01,-1,0.65352449223417,-6.26259599294818e-06,-0.000745805651572878,0.000212723726653309,9.53876979851604e-05,-0.163144327506983,"EB"
"106",6,3e+05,0.3,0.01,-1,0.623456790123457,-6.67237066590579e-06,-0.000791364440730334,-1.24788787925101e-05,-0.00018599014521839,-0.171609691174602,"EB"
"107",7,3e+05,0.3,0.01,-1,0.639088729016787,-6.58797516837216e-06,-0.000828780319330233,-0.000262723528534062,-0.000172922108660579,-0.188835956806626,"EB"
"108",8,3e+05,0.3,0.01,-1,0.624401913875598,-7.24168697512045e-06,-0.000872457420356818,-7.5969358377092e-05,-0.000407640781323809,-0.190227269102071,"EB"
