"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"37",37,30000,0.3,0.01,-1,1,-0.0242609832160773,-0.142062087357177,0.0080627959953232,-0.00574704289308725,-0.991574767435596,"EB"
"38",38,30000,0.3,0.01,-1,1,-0.0254735043163929,-0.145011919968368,0.00912736294098069,-0.0110878544585302,-0.990862860618859,"EB"
"39",39,30000,0.3,0.01,-1,0.998073217726397,-0.0243364921385706,-0.148076796045162,0.00175116711550084,-0.000879990634817567,-0.997286850378439,"EB"
"40",40,30000,0.3,0.01,-1,0.998178506375228,-0.0232906613104214,-0.138148990698524,0.00884690011895281,-0.00455278485876088,-0.99015075355531,"EB"
"41",41,30000,0.3,0.01,-1,1,-0.0236985615008137,-0.140873206642047,0.00941272103886464,-0.0114413166324712,-0.992169079491857,"EB"
"42",42,30000,0.3,0.01,-1,1,-0.0228513480939502,-0.136467659216793,0.0103459629221128,-0.00892483738915527,-0.989608295304345,"EB"
"43",43,30000,0.3,0.01,-1,0.998031496062992,-0.0218534649204176,-0.136945853732019,0.00582599061039798,-0.00160393668588389,-0.994174792957049,"EB"
"44",44,30000,0.3,0.01,-1,1,-0.0243145990144099,-0.140527424171973,0.00914715773387196,-0.00993218718968968,-0.989258756184176,"EB"
"45",45,30000,0.3,0.01,-1,0.997942386831276,-0.0224733630303131,-0.140368940975449,0.00252977126446404,-0.000425553634312638,-0.995686912941907,"EB"
"46",46,30000,0.3,0.01,-1,1,-0.0232749772113007,-0.139143023718717,0.00890831965448423,-0.00727621475879405,-0.991571754232103,"EB"
"47",47,30000,0.3,0.01,-1,1,-0.0237206302765033,-0.142979894445284,0.00717570637017461,-0.00120173487173189,-0.994492948189005,"EB"
"48",48,30000,0.3,0.01,-1,1,-0.0234051199019969,-0.140810301788407,0.00186777907343636,-0.00889360881878124,-0.993152146118499,"EB"
"49",49,30000,0.3,0.01,-1,1,-0.0226931664769766,-0.136350531266347,0.0140263576483586,-0.00794795175123598,-0.990129237093021,"EB"
"50",50,30000,0.3,0.01,-1,1,-0.0260836032032115,-0.149234612592205,0.00401688404431054,-0.00828875631209671,-0.993783083389842,"EB"
"51",51,30000,0.3,0.01,-1,1,-0.0237335818231563,-0.14137953231523,0.00340321813787203,-0.00910184867387632,-0.992661564161379,"EB"
"52",52,30000,0.3,0.01,-1,1,-0.0254729812833395,-0.145317027781831,0.0116124296592595,-0.00694564021114895,-0.991258649598076,"EB"
"53",53,30000,0.3,0.01,-1,1,-0.0242992952945784,-0.146577742853532,0.00520384698155268,-0.00400672447419841,-0.996221713442328,"EB"
"54",54,30000,0.3,0.01,-1,0.99800796812749,-0.0228340290983707,-0.13879018551231,0.00330152348424068,-0.00397722609422523,-0.992802877000718,"EB"
"55",55,30000,0.3,0.01,-1,1,-0.0236184227391203,-0.139127893525438,0.0101365254730445,-0.0099026200884496,-0.990165210130696,"EB"
"56",56,30000,0.3,0.01,-1,1,-0.0226147600271302,-0.140026836396726,0.00622321509708767,-0.00274441018028351,-0.994927122237115,"EB"
"57",57,30000,0.3,0.01,-1,0.998134328358209,-0.0237972030342265,-0.138124257409551,0.0111396433591857,-0.00690828748067187,-0.987886726930773,"EB"
"58",58,30000,0.3,0.01,-1,1,-0.0254935602431113,-0.150605691215795,0.00668959524759583,-0.00212114869376906,-0.996594217029392,"EB"
"59",59,30000,0.3,0.01,-1,0.998027613412229,-0.0216836826939602,-0.134957275264761,0.00718408463429959,-0.00591885227478405,-0.992434642928734,"EB"
"60",60,30000,0.3,0.01,-1,1,-0.0243584964998031,-0.140633549601717,0.0100217602438614,-0.0099246495267538,-0.989228597660142,"EB"
"61",61,30000,0.3,0.01,-1,1,-0.0255511639221063,-0.148029570054951,0.00765881465596698,-0.00188962973676731,-0.9941238051782,"EB"
"62",62,30000,0.3,0.01,-1,1,-0.0244458649787203,-0.143378615470212,0.0100590156818573,-0.00751215461968406,-0.992534451953579,"EB"
"63",63,30000,0.3,0.01,-1,1,-0.0239894254574748,-0.141588650429261,0.00712397584712094,-0.00982176128659932,-0.991986544645826,"EB"
"64",64,30000,0.3,0.01,-1,0.998168498168498,-0.0237504549060479,-0.141579980254002,0.00842536154073028,-0.00482428106570458,-0.992840993744242,"EB"
"65",65,30000,0.3,0.01,-1,1,-0.0229503651070587,-0.142969463765315,0.00105234989409895,-0.00244906655661099,-0.996653512322542,"EB"
"66",66,30000,0.3,0.01,-1,1,-0.0216892109024426,-0.134340535704977,0.00971672345969858,0.00128294819530475,-0.991600402713824,"EB"
"67",67,30000,0.3,0.01,-1,1,-0.0223457766329358,-0.136518258206073,0.000385375998822021,-0.0128868655793162,-0.991811608022535,"EB"
"68",68,30000,0.3,0.01,-1,0.997872340425532,-0.0218583141078086,-0.137166647831153,0.00208862584801406,-0.00159404337797292,-0.994400235650569,"EB"
"69",69,30000,0.3,0.01,-1,1,-0.0243470968259331,-0.138885241047706,0.0101357118103718,-0.0147807155923495,-0.986564266840895,"EB"
"70",70,30000,0.3,0.01,-1,0.998095238095238,-0.0263629891131785,-0.147980976093993,0.00669485522473917,-0.00733514255054531,-0.991442047259605,"EB"
"71",71,30000,0.3,0.01,-1,1,-0.0251678376987386,-0.144636872119723,0.00995785961023476,-0.00694597067932164,-0.991504238832863,"EB"
"72",72,30000,0.3,0.01,-1,1,-0.021112972910103,-0.133826920495018,0.00544626468928871,-0.00859101313370774,-0.993261393520573,"EB"
"73",73,30000,0.3,0.01,-1,1,-0.0238716431926592,-0.142752023122054,0.00748741574464166,-0.00326838961153786,-0.993766959247668,"EB"
"74",74,30000,0.3,0.01,-1,1,-0.0243068494740771,-0.142363602800607,0.0101608154272605,-0.00109209879620146,-0.991787462607188,"EB"
"75",75,30000,0.3,0.01,-1,0.996101364522417,-0.0241093294518186,-0.142703196371122,0.00038340407790777,-0.00688501341497154,-0.992908633893745,"EB"
"76",76,30000,0.3,0.01,-1,1,-0.0221753236925828,-0.132104289565673,0.0117748973794583,7.31615352616528e-05,-0.985789808864471,"EB"
"77",77,30000,0.3,0.01,-1,0.997950819672131,-0.0229137747234199,-0.139318394278589,0.00597674220777415,-0.00378211377599513,-0.99314500875737,"EB"
"78",78,30000,0.3,0.01,-1,0.998065764023211,-0.0239196258948531,-0.143656289913961,0.00426283715886266,-0.00495646411182809,-0.994572730824354,"EB"
