"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"22011",30000,0.8,0.001,1,0.372292713313788,0.00075406365855185,0.0101498267902898,-0.0270901806317041,0.0286086095509506,0.746744552567843,0.0298734229615127,0.000161317749998718,0.00210423911006951,0.00288091422008352,0.00279258272965855,0.20264394261812,"FIQT"
"23011",3e+05,0.8,0.001,1,0.378681063636943,5.04497780003518e-05,0.00213359410730425,-0.00572467238402532,0.00612617432287293,0.439443207671908,0.0195504814569807,8.48735617488872e-06,0.000357366758634452,0.000526044109758717,0.000626660078727062,0.0896662723728526,"FIQT"
"12",30000,0.3,0.01,-1,1,-0.0293815436595075,-0.127023705681096,0.0487681771815102,-0.0476780442764821,-0.924184993979359,0,0.0121008713486612,0.0212624477099065,0.0168928208232366,0.0220548051441782,0.0279797076421902,"BR"
"1012",3e+05,0.3,0.01,-1,0.764122018949874,-0.000381329760610786,-0.0104733183933712,-0.00354841470474943,0.00254328902762405,-0.684047610649605,0.0510917147337665,0.000132219313817453,0.00290568286396899,0.00257138520862761,0.00292588750039378,0.113199404494836,"BR"
"2012",30000,0.8,0.01,-1,0.754734629285481,-0.0037190467937683,-0.0319793852025327,-0.0132645122712836,0.00900610754766787,-0.662622928134478,0.0629751330570024,0.00139649032367236,0.0100652267054124,0.0104097963183383,0.0100356965079932,0.136220577825619,"BR"
"3012",3e+05,0.8,0.01,-1,0.527299296973032,7.95634298555082e-07,2.84842170268605e-05,-0.00189696419630633,0.00190297004241543,0.00446556354755739,0.0097227908414809,5.09838929955641e-06,0.00018753323694824,0.000429395513368974,0.000470095700289878,0.0277572800991264,"BR"
"4012",30000,0.3,0.001,-1,0.53206240981241,-0.000419241772739765,-0.00233575028127488,-0.0534933558591474,0.0449484450400068,0.900856494056405,0.216612758959769,0.00713288603385781,0.0388829709279536,0.0301734361333105,0.0343764346334377,4.2622755243276,"BR"
"5012",3e+05,0.3,0.001,-1,0.285839656441197,0.000183263601966568,0.00559218232579242,-0.00846672817315559,0.00841541962390612,1.01858809574825,0.028378471540394,4.56966536182519e-05,0.00120169911727647,0.00140118181748168,0.00174558550143936,0.280203289234155,"BR"
"6012",30000,0.8,0.001,-1,0.293056800634786,0.00177649496271964,0.0170686798818086,-0.0265702603052789,0.0259933339820316,0.98014897869767,0.0273194376917248,0.000573694101290108,0.00488961139814051,0.00449649771997769,0.00559396467464437,0.36799076095646,"BR"
"7012",3e+05,0.8,0.001,-1,0.296663032237688,7.58051413938552e-05,0.00252873232815898,-0.00446940630854716,0.00545301511523084,0.408788234751849,0.035167244373848,1.96079615709424e-05,0.000600226408709736,0.000830664352837885,0.00111843838738451,0.111855923413214,"BR"
"8012",30000,0.3,0.01,0,1,-0.0427791686200417,-0.129194922514743,0.0418322197782839,-0.00151549040353455,-0.953099142583122,0,0.0815126933350941,0.10087225643522,0.0897586954167111,0.0320463678876937,0.0445958367815933,"BR"
"9012",3e+05,0.3,0.01,0,0.702551421853129,-0.000134847456252818,-0.00548822697389874,-0.00256478699528983,0.00265690750973289,-0.593153944873111,0.0514366335601349,3.29520050790704e-05,0.0011127641125084,0.00167054826835065,0.00211435231652649,0.0743289733336243,"BR"
"10012",30000,0.8,0.01,0,0.704048623867106,-0.00147868086818234,-0.0186019274317005,-0.00991667905340366,0.00921325065593168,-0.608639912704249,0.0598200722053794,0.000398374074709199,0.00414891901322515,0.00604551582450148,0.00683589239878452,0.0975065464882327,"BR"
"11012",3e+05,0.8,0.01,0,0.520854047206998,-3.78000595807723e-06,-0.000174509282426027,-0.00162039063569494,0.00160485523318879,-0.0314677825063559,0.00988025672458,2.72041240136695e-06,0.000125105075230238,0.000373566831266845,0.000426147052703876,0.022314386391963,"BR"
"12012",30000,0.3,0.001,0,0.466769175269175,0.000330201294307316,0.00349280223630978,-0.0375782412091007,0.041411547005855,0.527861060729345,0.183235993236265,0.00171173137057994,0.0168143507243076,0.01914098909622,0.0221483986068932,1.50053855822028,"BR"
"13012",3e+05,0.3,0.001,0,0.274673667873851,0.000118102936872144,0.00449915410797076,-0.00793287714063751,0.00791716814988143,1.01980776194022,0.0264036167429028,2.41120195180135e-05,0.000866520900923038,0.00133839248144661,0.00133107721884475,0.265387399214289,"BR"
