"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"110",10,3e+05,0.3,0.01,-1,0.624856156501726,-7.40035546257208e-06,-0.000967407837285971,8.43988294531431e-05,-0.000897923166803113,-0.398650254024604,"EB"
"111",11,3e+05,0.3,0.01,-1,0.61437125748503,-4.85152600091069e-06,-0.0007239952752725,-0.000103056592664915,0.000560218862396634,-0.351998288948533,"EB"
"112",12,3e+05,0.3,0.01,-1,0.681093394077449,-7.2974557904637e-06,-0.00102285841876775,0.000324699309740394,-0.000798574554337362,-0.438677800605202,"EB"
"113",13,3e+05,0.3,0.01,-1,0.664351851851852,-6.71572413578459e-06,-0.000870695033252672,0.00021028883061242,-0.00169257310682022,-0.364584399411315,"EB"
"114",14,3e+05,0.3,0.01,-1,0.669703872437358,-7.12436058655268e-06,-0.00100329429049789,0.000198163233841391,-0.000191686965211387,-0.433889273766485,"EB"
"115",15,3e+05,0.3,0.01,-1,0.665066026410564,-6.61812617290279e-06,-0.000926486953693835,0.000172102412694254,-2.55697313657593e-05,-0.406514912219889,"EB"
"116",16,3e+05,0.3,0.01,-1,0.665121668597914,-5.259898137377e-06,-0.00074941498771097,0.000142221639114555,0.000381347451420763,-0.348665633393394,"EB"
"117",17,3e+05,0.3,0.01,-1,0.635831381733021,-6.56669706006976e-06,-0.00092660851244906,6.46692163346588e-05,-0.000520296260223802,-0.409045376429611,"EB"
"118",18,3e+05,0.3,0.01,-1,0.646651270207852,-5.26940556130655e-06,-0.000810527955328257,3.13720583634897e-05,-0.00107810000556727,-0.394258794315589,"EB"
"119",19,3e+05,0.3,0.01,-1,0.645314353499407,-7.48891537617642e-06,-0.000989157968708718,0.000172135329761743,-0.000747440561787042,-0.408804168474654,"EB"
"120",20,3e+05,0.3,0.01,-1,0.646080760095012,-6.2177174089196e-06,-0.000903313177336461,-3.02584490257734e-05,-0.00233851461524182,-0.41020500547508,"EB"
"121",21,3e+05,0.3,0.01,-1,0.636571428571429,-5.57128275633981e-06,-0.000837252298743733,-0.000185389008157895,-0.000985300628373431,-0.397079825082949,"EB"
"122",22,3e+05,0.3,0.01,-1,0.658018867924528,-6.29325977376512e-06,-0.000895628489814499,1.50640384022761e-05,-0.000390878069699458,-0.401085016842724,"EB"
"123",23,3e+05,0.3,0.01,-1,0.63573883161512,-4.8111877059939e-06,-0.000702959438324372,7.96498180294645e-05,0.000350573776751307,-0.337867512866119,"EB"
