"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"2301",3e+05,0.8,0.001,1,0.588015581273084,-7.35188795860254e-05,-0.00508560916609577,-0.769701840795233,0.0174325007538807,5.15879875806678e-06,0.000282153802240843,0.0182261856392272,"EB"
"11",30000,0.3,0.01,-1,0.942689046843784,-0.00181377316057402,-0.034039678752344,-0.951215433103255,0.00980408862738098,0.000107677294356538,0.00139761996242332,0.00724128399608128,"EB_df"
"1011",3e+05,0.3,0.01,-1,0.562465886951582,-1.77161436030266e-05,-0.00139736272418052,-0.357233468689125,0.0141645289081692,1.96399537299506e-06,0.000141968347017751,0.0272461018847973,"EB_df"
"2011",30000,0.8,0.01,-1,0.75878486212694,-0.000901543170143063,-0.0174971045037505,-0.756806302798384,0.0122842722342851,5.45007755774265e-05,0.000787574480754868,0.014106016761827,"EB_df"
"3011",3e+05,0.8,0.01,-1,0.27463614111546,1.08612539987742e-05,0.000855660689714635,0.312395479412747,0.00896854493078948,2.41209399432896e-06,0.000186206116189588,0.0756660694632125,"EB_df"
"4011",30000,0.3,0.001,-1,0.72886932283874,-0.0011721024450173,-0.0208990126615194,-0.790241789330984,0.0143536615045264,8.91904547394648e-05,0.00138672505187246,0.0239145541026444,"EB_df"
"5011",3e+05,0.3,0.001,-1,0.486115594776652,-4.72023969064547e-05,-0.00276657180793478,-0.47553305141774,0.0186824329709435,9.33438000635525e-06,0.000569871828874572,0.0759385950502031,"EB_df"
"6011",30000,0.8,0.001,-1,0.658756539874523,-0.000843803815974425,-0.0158119524162577,-0.704677801691181,0.0273192562455697,6.85142059595204e-05,0.00108330977736129,0.0254892991212935,"EB_df"
"7011",3e+05,0.8,0.001,-1,0.476228296808612,-2.8444927963871e-05,-0.00162341838745458,-0.30718778766228,0.0160995991955475,7.15809825099763e-06,0.00042895942907794,0.0703616021663762,"EB_df"
"8011",30000,0.3,0.01,0,0.921650731688451,-0.00173540725789993,-0.0338698463746413,-0.95834987602033,0.0108356563647641,0.000104305291410486,0.00122567622476421,0.00438881344921624,"EB_df"
"9011",3e+05,0.3,0.01,0,0.525614900993542,-2.30746145755092e-05,-0.00198419006744897,-0.497880867319833,0.027235930851662,1.89138631850098e-06,0.000129826400830049,0.0180812659573092,"EB_df"
"10011",30000,0.8,0.01,0,0.736122512895153,-0.000872935735411637,-0.0183758587807449,-0.804522903601924,0.0145792233210981,5.36358019851933e-05,0.000750167428773557,0.00965450248533015,"EB_df"
"11011",3e+05,0.8,0.01,0,0.280652570017509,3.46274700054622e-06,0.00029477530299707,0.108291518102007,0.00963994910642121,2.37096309369667e-06,0.000203103340603727,0.0759823487234228,"EB_df"
"12011",30000,0.3,0.001,0,0.733659457763069,-0.00127127121972884,-0.0239242906645593,-0.856082075075072,0.0166351128532156,8.9116099063587e-05,0.00121477074212876,0.0123616759087481,"EB_df"
"13011",3e+05,0.3,0.001,0,0.497942929278743,-4.97264449546872e-05,-0.00290511376522265,-0.492702418042066,0.0199586303028322,8.25788453733844e-06,0.000502904657277054,0.064626601389949,"EB_df"
"14011",30000,0.8,0.001,0,0.663347896836717,-0.000921681233791532,-0.0178662989690555,-0.76399822117519,0.0185155744078099,6.38319232946196e-05,0.000946781377417878,0.0168912158519136,"EB_df"
