"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"4014",30000,0.3,0.001,0,0.733252245565945,-0.000130608667882527,-0.00361002963072656,0.00454950648651493,-0.00469358851616717,-0.181529126891355,0.0412470057702299,2.18040068200321e-05,0.000537993780924236,0.00170909092501822,0.00196312455726666,0.0243072442092205,"EB_gam_nb"
"5014",3e+05,0.3,0.001,0,0.528560917178449,2.47498798834933e-07,2.95401197734957e-05,-0.000470088611045413,0.000502263659205934,0.00716234007297368,0.0141558169210045,4.61144389777965e-07,5.46916249154745e-05,0.000223072750364888,0.000233462421962781,0.0130628168015083,"EB_gam_nb"
"6014",30000,0.8,0.001,0,0.629405839262863,-3.42466712853229e-05,-0.00117276177646394,0.00175513500370115,-0.00176059436074762,-0.0771747219333101,0.0258217134601854,7.66607104042917e-06,0.00025318186496553,0.00131682691515709,0.00119964515463841,0.0159671813077013,"EB_gam_nb"
"7014",3e+05,0.8,0.001,0,0.514772462769641,1.51851337594145e-07,1.84554422209935e-05,-0.000371008595728618,0.000385861402201552,0.00453382748291257,0.0136584531099157,2.87762258459951e-07,3.50743365755948e-05,0.00020235405945457,0.000188984918309858,0.00857898656613069,"EB_gam_nb"
"15",30000,0.3,0.01,0,0.991088858491093,-0.000806280638305858,-0.0127778627110588,0.0223238761532867,-0.0225967868019347,-0.337377989043799,0.0159414390177564,5.87739986231482e-05,0.000497922395359629,0.00288840081394433,0.00314367648135799,0.0144035550935986,"FIQT"
"1015",3e+05,0.3,0.01,0,0.684391408549316,-6.75425212111493e-06,-0.0007284527049517,0.000800637544827011,-0.000797796708024941,-0.145675046509904,0.012897322913829,5.92496674455063e-07,5.69977375558619e-05,0.000168997301064534,0.000181377428873095,0.00971489891530885,"FIQT"
"2015",30000,0.8,0.01,0,0.879397878522999,-0.000312885632027304,-0.00751260004390889,0.00967368998396979,-0.00957478212596599,-0.30591205329058,0.0260071889209475,2.59893702441547e-05,0.000460748479929918,0.001338253670048,0.00151387472601682,0.0167130177262429,"FIQT"
"3015",3e+05,0.8,0.01,0,0.600065999019764,-2.13411441998682e-06,-0.000254812120073119,0.000261262154148772,-0.00026085434508799,-0.0590391270345052,0.00896791587093761,2.47665761035493e-07,2.87094055285306e-05,0.000117902635241173,0.000116215528574128,0.00632509986347289,"FIQT"
"4015",30000,0.3,0.001,0,0.697730962930745,-0.000134798434737605,-0.00373951039247385,0.00191299970008664,-0.0019369612780369,-0.187657700913474,0.0419616494182934,2.98657684047335e-05,0.000781551420100984,0.00170338357814721,0.00193269043411938,0.0356295795822977,"FIQT"
"5015",3e+05,0.3,0.001,0,0.5187221498868,2.51912134435262e-07,3.00082172046302e-05,-0.000690765423035104,0.000679270602388225,0.00727787915105046,0.014325275031975,5.07508291847786e-07,6.00578464715421e-05,0.000223035311890307,0.000220503404315523,0.0143058657358696,"FIQT"
"6015",30000,0.8,0.001,0,0.582393533496793,-2.60207618868803e-05,-0.00088257468552217,-0.00143121181894912,0.00140041441442262,-0.0578442381748515,0.0240978437603702,1.20770683825302e-05,0.000406821674367168,0.00114061049041851,0.00103661848116989,0.0260927407020886,"FIQT"
"7015",3e+05,0.8,0.001,0,0.497453662098481,5.46428017061812e-07,6.61132565912337e-05,-0.000629793510171691,0.000642418274533502,0.0161809200245827,0.0131714872420208,3.33159940022699e-07,4.02755784152036e-05,0.000194399323480775,0.000180123054989413,0.00989179780270568,"FIQT"
"16",30000,0.3,0.01,0,0.989277607372985,-0.000870559846719107,-0.0140895750786053,0.0207042633981776,-0.0210464542993771,-0.37190794852404,0.017934263429313,7.04168302682441e-05,0.000748158489850693,0.00274397869537362,0.00305446615886545,0.0188834136110474,"BR"
"1016",3e+05,0.3,0.01,0,0.687051234309555,-6.719914202987e-06,-0.000724449833931895,0.000860405319985306,-0.000853734406662133,-0.144879255924063,0.0127815645166488,5.80985763119141e-07,5.58189133435469e-05,0.000170052217492504,0.000181589344868486,0.00953266128609945,"BR"
"2016",30000,0.8,0.01,0,0.872765120580322,-0.000324711177121696,-0.00786284787051049,0.00881165724821081,-0.00874940513333691,-0.320119381444282,0.026365538296526,2.88934995387814e-05,0.000545941149698071,0.00130736369441333,0.00155831632633141,0.0194773104752794,"BR"
"3016",3e+05,0.8,0.01,0,0.607307465917963,-2.14580256875079e-06,-0.000256258646612525,0.000415215858344627,-0.000404856775125815,-0.0593804157129363,0.00908434247737214,2.22143258492982e-07,2.56063545488119e-05,0.000118417283131467,0.000123109762603165,0.00562224377562672,"BR"
"4016",30000,0.3,0.001,0,0.720924024690419,-0.000134278402303624,-0.00372262282467902,0.00356194687072144,-0.00363907276615383,-0.187072884670704,0.0416313304156501,2.44191111729683e-05,0.000614150485581368,0.00172933449262183,0.00190322694756169,0.0276077603571141,"BR"
"5016",3e+05,0.3,0.001,0,0.561188334728537,-8.35990306085342e-07,-0.000100774034662087,0.000156833869064213,-0.000172116073569364,-0.0239887287807564,0.0143793321544807,2.60950794177969e-07,3.09130211098603e-05,0.000225139242881561,0.000229556100356271,0.0071880019923438,"BR"
"6016",30000,0.8,0.001,0,0.62245785965419,-3.6153846374011e-05,-0.00124123837969587,0.00124810951665686,-0.00125845891286001,-0.0816858944348204,0.0240617597237931,8.11157803138216e-06,0.000270089137470944,0.0011847367857702,0.00106917251778402,0.0170495835171699,"BR"
"7016",3e+05,0.8,0.001,0,0.538389083193661,-2.9786241683211e-07,-3.65306698005232e-05,0.000102301529719737,-9.27889257510564e-05,-0.00891408719762097,0.0135418247992522,1.4841774397873e-07,1.82072389419795e-05,0.00019220517687221,0.000180915968589492,0.00443285289405304,"BR"
"17",30000,0.3,0.01,0,0.944062850738723,-0.000805585842538103,-0.0127541207284806,0.0119841027523684,-0.0122191967819813,-0.335938743750255,0.0225529503161184,0.000103708750186848,0.0014310358865704,0.00330770744752563,0.00335537248061758,0.0308741567438441,"cl1"
"1017",3e+05,0.3,0.01,0,0.5994765633965,4.08691064106737e-05,0.00311676627244626,-0.00144403673331422,0.00142960390086889,0.62418084867736,0.0113525081649187,1.84762326482114e-06,0.000128363021979041,0.000198908247826651,0.000226105325808723,0.0337246947300344,"cl1"
