"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"14011",30000,0.8,0.001,0,0.355048894903173,8.2066955988392e-05,0.00347655757496527,-0.00943236051235444,0.00532974650491867,0.831292198772309,0.0267453536420788,2.00305357527362e-05,0.000832223164639594,0.000707707964561028,0.0028208248651552,0.253451680013846,"FIQT"
"15011",3e+05,0.8,0.001,0,0.395278613655086,6.07900764740011e-06,0.000759032813257753,-0.00192473867337199,0.00219918797823646,0.468592673614501,0.0216717698924619,1.42049260811414e-06,0.000167241287848612,0.000172796119006342,0.000296867094964156,0.120406727350576,"FIQT"
"16011",30000,0.3,0.01,1,1,-0.00148576106788713,-0.0291089099973447,0.00434902420242332,-0.0258287762993429,-0.941868279199366,0,0.00108013100801563,0.00592115153326464,0.00471647905598899,0.00407008087935114,0.063996528700999,"FIQT"
"17011",3e+05,0.3,0.01,1,0.553465488168847,-3.66553128344822e-06,-0.000581491492294836,-0.00146837708589475,-0.00203089648651961,-0.307914127714383,0.0169213981817467,6.91572562123588e-07,0.000106779295060432,9.20790801113057e-05,0.00252447940447831,0.0462385421523579,"FIQT"
"18011",30000,0.8,0.01,1,0.969388977293776,-0.000464451668408844,-0.0161335625392193,-0.000355634767009977,-0.0410096111266399,-0.922324919961109,0.0411203049554964,0.000149648231285573,0.00193168498405373,0.00179167255905119,0.0277791717815053,0.0377169597010424,"FIQT"
"19011",3e+05,0.8,0.01,1,0.416388123706005,2.41765534971674e-06,0.000368329223407868,-0.00188957202525198,-0.000509132317804122,0.2525781887729,0.00840086285418166,3.18937879988193e-07,4.9180650370828e-05,5.49066888230075e-05,0.000604208802205473,0.0382969904762204,"FIQT"
"20011",30000,0.3,0.001,1,0.456128491764368,1.0594877086023e-05,0.000564486894786713,-0.0086332528996119,-0.0325985033725165,0.151179695929637,0.0537359008112295,4.25037381225543e-05,0.00151080888163037,0.000916850206658289,0.0427544531103496,0.287963729612019,"FIQT"
"21011",3e+05,0.3,0.001,1,0.37636926094357,7.29268915574177e-06,0.000923925899891889,-0.00243645639544811,0.0019285676749813,0.60905060368502,0.0225393132769883,1.42058782534923e-06,0.000180509680419175,0.000149980769999707,0.000567441868157496,0.150493789106314,"FIQT"
"22011",30000,0.8,0.001,1,0.350173458040576,7.9314300143296e-05,0.00342734454272133,-0.00933192085393313,0.00262985105429189,0.83268434358725,0.0256828774829071,1.46233963634281e-05,0.00066533630597708,0.000524541001052837,0.00623859674758739,0.225666575515743,"FIQT"
"23011",3e+05,0.8,0.001,1,0.399101657762577,6.79344396651968e-06,0.000835853757651059,-0.00192013348758303,0.00213366800868224,0.517568091786462,0.0193563304040062,1.52501038662682e-06,0.000174832054321073,0.000161354664772509,0.000391871548342113,0.125758221564418,"FIQT"
